Order Date,Segment,Market,Sales,Profit
2012-05-12,Corporate,USCA,8.0,3.84
2015-03-11,Consumer,Asia Pacific,3063.27,581.91
2015-12-19,Corporate,USCA,18.704,2.3379999999999983
2015-08-11,Corporate,Europe,4473.000000000001,313.11
2014-08-31,Corporate,Europe,1502.0100000000002,225.18
2015-01-18,Consumer,Asia Pacific,5048.999999999999,656.37
2015-01-03,Corporate,USCA,695.7,-27.827999999999975
2015-12-07,Consumer,Europe,2188.05,1050.15
2015-12-16,Corporate,Asia Pacific,1920.3600000000001,652.92
2015-11-20,Home Office,LATAM,1704.0000000000005,119.28
2012-11-08,Home Office,Europe,1858.6800000000003,130.07999999999998
2014-06-07,Corporate,Asia Pacific,3298.2599999999998,1055.25
2012-11-21,Consumer,LATAM,2443.48,121.94000000000001
2014-03-29,Consumer,Africa,3808.7999999999997,1523.52
2015-08-26,Corporate,Asia Pacific,3427.1495999999997,-452.81039999999985
2013-09-20,Consumer,Europe,3441.69,38.06999999999999
2015-05-16,Consumer,Asia Pacific,2863.35,858.9
2015-08-02,Corporate,USCA,1439.982,-263.99670000000026
2014-11-24,Consumer,Europe,1487.4,728.7
2012-11-08,Home Office,Asia Pacific,3200.04,1183.95
2012-10-27,Consumer,Asia Pacific,2300.9999999999995,91.95
2015-11-19,Consumer,Europe,5729.345999999999,63.54600000000016
2015-10-28,Corporate,Africa,5301.240000000001,2597.28
2014-09-26,Corporate,USCA,477.666,84.29399999999997
2015-09-05,Corporate,USCA,88.07400000000001,-58.71599999999998
2014-01-29,Consumer,Europe,3219.9,965.8500000000001
2013-09-18,Consumer,Asia Pacific,2487.8088,-269.7912
2014-11-23,Home Office,Africa,2266.44,113.28
2013-06-13,Corporate,Asia Pacific,3068.361000000001,1124.9009999999998
2014-10-28,Consumer,Asia Pacific,3728.4299999999994,1192.86
2014-12-12,Consumer,Asia Pacific,1581.48,0.0
2013-05-25,Corporate,Asia Pacific,1916.7300000000002,498.3299999999999
2015-10-04,Corporate,USCA,171.288,-6.423300000000026
2014-12-02,Home Office,Europe,2432.16,513.36
2015-01-03,Corporate,USCA,28.854000000000006,-21.159599999999998
2014-01-28,Corporate,Asia Pacific,2465.8199999999997,197.19000000000005
2013-05-07,Corporate,Asia Pacific,1847.5199999999998,738.96
2014-11-27,Consumer,Europe,2899.8899999999994,927.78
2013-11-28,Home Office,Asia Pacific,2891.6999999999994,96.39000000000004
2013-09-29,Consumer,Europe,2016.8460000000002,-0.05400000000003047
2014-09-03,Home Office,Europe,3155.544,34.94400000000002
2014-07-26,Consumer,Africa,3856.1399999999994,1465.2
2015-11-19,Corporate,Asia Pacific,3524.472,861.372
2013-06-19,Consumer,Europe,2167.2960000000003,790.4159999999999
2013-10-11,Corporate,LATAM,2556.000000000001,178.92
2012-08-08,Consumer,Europe,1469.2499999999998,308.4
2012-11-04,Consumer,Europe,4448.832,1517.7120000000002
2012-07-26,Corporate,USCA,65.78,32.2322
2014-04-26,Home Office,LATAM,2472.6600000000003,914.76
2014-12-26,Consumer,Asia Pacific,3739.1759999999995,747.816
2014-03-13,Home Office,Europe,2570.865,-2211.165
2014-03-29,Corporate,USCA,31.4,7.850000000000001
2013-04-05,Corporate,Europe,2875.7700000000004,-1783.0800000000004
2013-12-26,Consumer,Europe,1741.8000000000002,261.24
2014-04-18,Consumer,Asia Pacific,1601.64,587.1899999999999
2012-05-23,Consumer,Asia Pacific,3670.7999999999997,367.08
2015-08-02,Corporate,USCA,36.28800000000001,12.700800000000001
2014-05-16,Consumer,Europe,1900.95,589.2
2015-01-03,Corporate,USCA,15.66,-12.527999999999995
2012-02-16,Corporate,Europe,4544.0999999999985,1868.1299999999999
2014-05-31,Consumer,Asia Pacific,1455.1200000000001,116.39999999999999
2014-10-01,Consumer,Asia Pacific,1943.19,258.93
2015-11-07,Home Office,USCA,2036.8600000000001,366.6347999999999
2014-09-02,Home Office,USCA,4355.168000000001,1415.4295999999997
2014-12-11,Corporate,Asia Pacific,1695.8700000000001,-37.83000000000001
2015-03-18,Corporate,Europe,1505.9789999999998,-265.76099999999997
2015-12-19,Consumer,Asia Pacific,1954.17,312.65999999999997
2015-11-07,Home Office,USCA,449.56800000000004,-73.05480000000007
2014-03-14,Home Office,USCA,160.32,44.8896
2015-11-07,Home Office,USCA,108.96000000000001,32.68799999999999
2015-09-18,Consumer,LATAM,1213.18876,508.00876000000005
2014-11-25,Corporate,Asia Pacific,1590.6,572.5500000000001
2014-11-07,Consumer,Asia Pacific,2330.6400000000003,1025.46
2015-07-19,Home Office,Asia Pacific,3278.5847999999996,140.82479999999995
2013-08-16,Home Office,Asia Pacific,3741.5237999999995,946.6337999999997
2015-11-06,Home Office,USCA,67.8,31.188
2013-01-10,Consumer,Asia Pacific,3637.6019999999994,156.40199999999993
2014-01-28,Home Office,LATAM,2455.8799999999997,785.8199999999999
2013-06-14,Consumer,Asia Pacific,1024.6800000000003,-286.9200000000003
2015-11-06,Home Office,USCA,167.94,82.2906
2014-09-02,Home Office,USCA,24.56,11.543199999999999
2013-12-06,Home Office,LATAM,2297.96,988.1199999999999
2014-09-05,Corporate,Europe,2671.41,534.24
2015-09-18,Consumer,Africa,3834.000000000001,268.38
2014-09-02,Home Office,USCA,49.12,23.086399999999998
2013-08-03,Corporate,Asia Pacific,3501.7367999999997,210.85680000000002
2015-12-09,Home Office,Asia Pacific,1725.4620000000004,747.6120000000001
2013-10-25,Consumer,Asia Pacific,1583.7,174.14999999999998
2015-05-08,Home Office,USCA,79.99,28.7964
2014-08-27,Home Office,Asia Pacific,2760.3450000000003,-214.72500000000002
2012-05-12,Corporate,Asia Pacific,3078.7200000000007,523.0799999999999
2012-11-02,Consumer,Europe,1983.135,-1784.895
2015-08-02,Consumer,Europe,1112.778,296.6580000000001
2012-09-19,Consumer,Europe,3616.5,36.0
2014-03-14,Home Office,USCA,127.88,40.9216
2014-03-11,Consumer,Asia Pacific,2892.1049999999996,160.60500000000008
2013-02-01,Consumer,Europe,3263.4000000000005,848.4000000000001
2014-03-14,Home Office,USCA,46.0,20.7
2015-04-09,Corporate,LATAM,3117.0879999999997,38.94800000000005
2014-08-30,Home Office,USCA,27.93,8.099699999999999
2015-03-19,Home Office,LATAM,1888.7,887.6
2014-10-02,Consumer,Asia Pacific,3000.7799999999997,1080.18
2014-01-12,Corporate,Europe,3801.63,1444.5900000000001
2015-08-20,Consumer,Asia Pacific,5211.12,1146.24
2012-12-16,Corporate,Asia Pacific,1356.0300000000002,311.84999999999997
2015-03-14,Consumer,Asia Pacific,3569.643,674.163
2013-09-18,Home Office,USCA,18.54,8.713799999999999
2015-07-09,Consumer,Asia Pacific,2910.0815999999995,125.12159999999994
2014-06-11,Home Office,Asia Pacific,3126.400199999999,-128.71979999999962
2012-08-09,Consumer,Europe,5276.988,1758.8879999999997
2015-03-17,Consumer,Asia Pacific,2645.376,-0.024000000000114596
2014-01-02,Consumer,Asia Pacific,1637.0100000000002,-36.39000000000004
2014-09-02,Home Office,USCA,3.048,1.0668
2013-10-10,Consumer,Asia Pacific,2645.376,-0.024000000000114596
2014-09-02,Home Office,USCA,6.79,2.3086
2012-06-16,Corporate,Asia Pacific,3238.305,-740.2949999999998
2015-04-03,Corporate,Europe,2291.8140000000003,127.13399999999993
2012-05-16,Consumer,LATAM,2124.5000000000005,488.6
2015-02-11,Home Office,Europe,2757.7799999999997,744.48
2014-10-12,Consumer,Europe,1549.98,139.32
2015-09-17,Home Office,USCA,20.736000000000004,7.2576
2015-07-17,Corporate,Europe,3146.3999999999996,629.28
2015-11-22,Corporate,Europe,2456.619,664.719
2012-05-29,Consumer,Europe,2228.6355,-754.4144999999997
2015-11-06,Home Office,USCA,4.41,2.0286
2015-07-17,Corporate,Asia Pacific,4001.0399999999995,1440.24
2015-08-29,Home Office,Europe,4876.875,745.875
2013-12-26,Consumer,Asia Pacific,1788.8219999999997,204.28200000000004
2015-11-11,Home Office,Asia Pacific,3622.2899999999995,1267.77
2014-05-01,Consumer,Asia Pacific,1242.585,-140.71500000000015
2012-08-15,Corporate,Europe,4453.050000000001,1424.85
2015-12-03,Consumer,Asia Pacific,2673.36,1069.1999999999998
2014-06-25,Consumer,Asia Pacific,2046.1949999999997,591.0450000000001
2014-01-21,Consumer,Europe,5451.299999999999,2071.44
2015-10-24,Corporate,USCA,637.896,-127.57919999999996
2015-07-12,Consumer,Asia Pacific,1722.2831999999999,539.4431999999999
2015-10-24,Corporate,USCA,210.68,50.563199999999995
2015-09-01,Home Office,Europe,1007.4240000000001,134.30399999999997
2015-10-24,Corporate,USCA,240.744,-13.756799999999984
2012-06-06,Home Office,Asia Pacific,4624.290000000001,1644.0300000000002
2012-10-12,Corporate,Europe,1066.4460000000001,-11.934000000000026
2014-06-10,Home Office,Asia Pacific,957.5999999999999,0.0
2015-12-13,Home Office,Asia Pacific,4864.32,162.12
2014-09-16,Corporate,USCA,841.5680000000001,294.5487999999999
2015-06-10,Consumer,Asia Pacific,1433.8394999999998,-84.37050000000002
2012-02-15,Home Office,Africa,2784.5999999999995,779.5199999999999
2014-11-28,Consumer,Europe,3063.27,1470.2100000000003
2014-06-27,Corporate,USCA,231.72,11.585999999999984
2015-04-16,Corporate,USCA,196.45,70.72199999999998
2012-08-08,Consumer,LATAM,2044.8000000000006,-332.2800000000002
2014-12-18,Corporate,USCA,165.60000000000002,-6.210000000000015
2013-08-02,Corporate,Asia Pacific,1521.0,0.0
2013-06-19,Consumer,Europe,2443.905,760.3049999999998
2015-04-07,Corporate,USCA,137.31,54.900000000000006
2014-08-02,Corporate,Asia Pacific,1141.8000000000002,570.9000000000001
2015-05-22,Corporate,Asia Pacific,1865.9699999999998,802.17
2012-02-10,Corporate,Asia Pacific,6998.64,2939.31
2014-09-27,Consumer,Europe,1091.25,119.97
2015-06-02,Home Office,Asia Pacific,1094.22,328.23
2014-09-30,Corporate,Asia Pacific,1320.6240000000003,484.22400000000005
2012-07-18,Consumer,Asia Pacific,2555.6400000000003,664.4399999999999
2015-08-14,Home Office,Europe,3498.7200000000003,594.72
2015-10-24,Corporate,USCA,35.0,14.700000000000003
2015-10-31,Consumer,Asia Pacific,2272.8600000000006,977.22
2014-07-25,Consumer,Asia Pacific,5211.12,833.76
2015-10-07,Home Office,Asia Pacific,2582.16,361.44
2015-10-17,Home Office,Asia Pacific,3194.55,830.55
2014-12-03,Consumer,Asia Pacific,1704.9959999999996,378.876
2015-11-08,Corporate,Asia Pacific,1538.7209999999998,325.701
2014-06-10,Home Office,Asia Pacific,1381.3199999999997,593.9099999999999
2012-09-20,Home Office,Europe,1181.547,498.80700000000013
2012-06-20,Consumer,Europe,1696.2479999999998,734.9280000000001
2015-09-26,Corporate,USCA,190.89600000000002,-42.9516
2015-05-20,Corporate,USCA,314.352,-35.36460000000001
2015-11-26,Home Office,Africa,1237.56,606.36
2013-03-30,Consumer,Africa,1274.7,140.16
2012-11-09,Consumer,LATAM,3172.14,856.4399999999999
2015-10-24,Corporate,USCA,43.44,21.2856
2013-08-01,Corporate,Europe,3979.29,1989.5399999999997
2014-12-18,Corporate,USCA,51.84000000000001,18.144
2014-06-27,Corporate,USCA,17.9,8.95
2014-06-27,Corporate,USCA,12.48,5.616
2014-01-23,Consumer,Asia Pacific,2058.0,946.6800000000001
2012-05-20,Consumer,Asia Pacific,2539.8764999999994,709.9364999999999
2015-09-28,Consumer,Europe,2898.21,1420.02
2012-11-05,Home Office,Europe,1320.0075000000002,357.1575
2015-01-28,Corporate,Europe,2171.16,-2750.2799999999993
2015-09-13,Corporate,Asia Pacific,4448.223,444.4830000000002
2015-11-27,Corporate,USCA,12.84,3.723599999999999
2012-12-21,Consumer,LATAM,2300.6159999999995,38.1960000000001
2014-02-05,Home Office,Africa,2615.94,1072.44
2012-12-27,Consumer,Asia Pacific,1066.68,394.65000000000003
2015-10-24,Corporate,USCA,2.22,0.6659999999999999
2012-04-26,Corporate,Africa,2544.6000000000004,814.1999999999999
2012-10-05,Corporate,Asia Pacific,3694.68,886.6800000000001
2014-08-24,Home Office,Asia Pacific,2214.849,-221.57100000000014
2014-09-21,Home Office,LATAM,1236.4799999999998,111.28
2015-12-17,Corporate,LATAM,1805.9,126.40000000000002
2012-11-15,Corporate,USCA,5.22,2.4012
2013-12-21,Corporate,USCA,3.008,0.3383999999999998
2015-09-26,Corporate,USCA,8.595000000000002,-6.303000000000001
2015-06-03,Consumer,LATAM,1810.3,54.29999999999999
2015-09-12,Consumer,LATAM,2120.5,106.0
2015-04-17,Consumer,Asia Pacific,1275.0,140.22
2013-11-21,Consumer,Europe,1593.6480000000001,-225.16200000000003
2015-03-06,Corporate,Europe,1114.236,383.706
2013-07-23,Consumer,Europe,2944.08,1112.13
2015-11-07,Consumer,Asia Pacific,3309.2598,318.85979999999995
2015-11-22,Consumer,LATAM,897.4800000000001,322.92
2012-06-10,Consumer,Europe,2056.0499999999997,390.6
2013-09-14,Corporate,LATAM,2365.6592,18.859199999999998
2012-11-24,Consumer,Asia Pacific,1336.356,44.436000000000035
2013-08-10,Consumer,Asia Pacific,3038.64,1245.84
2014-03-20,Consumer,Europe,2698.6499999999996,890.46
2014-12-30,Corporate,Africa,3799.0800000000004,455.76000000000005
2013-10-04,Consumer,Asia Pacific,2756.3399999999992,413.28
2013-08-06,Home Office,Europe,983.8800000000001,-11.16000000000001
2013-10-02,Home Office,Asia Pacific,1719.8069999999998,117.65700000000004
2015-03-26,Consumer,Asia Pacific,1421.5410000000002,428.12099999999987
2015-11-21,Consumer,LATAM,1053.6884,441.2884
2012-11-29,Consumer,Europe,1440.8400000000001,-1268.0400000000002
2012-11-02,Corporate,Asia Pacific,2544.372,621.792
2015-05-20,Corporate,USCA,27.888,10.1094
2013-12-06,Consumer,Europe,1554.48,341.76
2014-12-03,Consumer,LATAM,1278.0000000000005,89.46
2013-12-20,Corporate,LATAM,3474.0800000000004,625.28
2013-09-13,Consumer,LATAM,2550.0,357.0
2015-09-17,Consumer,USCA,538.1940000000001,-412.6153999999999
2012-09-21,Consumer,USCA,579.528,83.70959999999997
2013-11-09,Consumer,USCA,1024.38,215.11979999999994
2013-05-23,Consumer,Asia Pacific,934.248,-1331.6519999999998
2014-06-22,Consumer,USCA,353.568,-44.196000000000026
2015-04-14,Corporate,Africa,3908.88,1563.48
2015-08-29,Home Office,LATAM,2142.3,556.9
2015-05-16,Consumer,Asia Pacific,1900.5839999999998,-348.5160000000001
2013-12-13,Consumer,Africa,1840.6799999999998,496.98
2012-03-30,Consumer,Europe,2624.04,446.04
2013-02-03,Corporate,Asia Pacific,3076.5,215.25
2014-05-29,Corporate,Asia Pacific,3181.7718,344.9717999999997
2013-08-29,Consumer,Europe,1392.6330000000003,-139.55700000000002
2012-06-14,Consumer,Asia Pacific,1296.2400000000002,285.12
2015-08-28,Consumer,Asia Pacific,1682.91,487.98
2012-10-26,Consumer,LATAM,1278.0000000000005,89.46
2015-03-19,Home Office,Europe,2570.7599999999998,976.8000000000001
2015-09-11,Home Office,LATAM,2332.96,349.86
2013-08-28,Home Office,Asia Pacific,1582.1999999999998,-870.3000000000002
2015-09-17,Consumer,USCA,71.976,19.793400000000005
2014-08-01,Corporate,Asia Pacific,1512.0,498.96
2014-06-22,Consumer,USCA,186.144,60.49679999999999
2015-12-24,Consumer,Africa,2550.0,714.0
2015-09-17,Consumer,USCA,47.984,14.395200000000004
2013-02-22,Home Office,Europe,2285.6999999999994,845.7
2015-10-11,Consumer,Asia Pacific,1029.2588999999998,10.818900000000014
2015-04-21,Corporate,LATAM,1058.2792000000002,-2.1208
2014-06-12,Consumer,Asia Pacific,5751.540000000001,2817.9900000000002
2014-09-17,Home Office,Europe,2442.069,-244.251
2015-09-19,Home Office,Asia Pacific,1190.52,178.56
2015-11-26,Consumer,Europe,3150.8189999999995,-35.09100000000001
2015-09-01,Home Office,Europe,1599.9,719.85
2015-06-20,Corporate,Asia Pacific,2063.4,123.75
2015-10-23,Home Office,Europe,1269.8999999999999,558.72
2012-08-15,Corporate,Asia Pacific,3274.0200000000004,261.9
2015-09-12,Consumer,LATAM,848.32,110.28
2015-04-02,Consumer,USCA,94.19999999999999,23.550000000000004
2015-01-14,Consumer,Europe,2847.36,711.84
2015-11-13,Home Office,Asia Pacific,1725.75,-483.2999999999999
2014-06-13,Consumer,Asia Pacific,1479.3137999999997,-63.646199999999986
2015-09-17,Consumer,USCA,22.512000000000004,2.2512
2015-09-22,Consumer,Asia Pacific,1282.2299999999998,12.69
2012-01-08,Consumer,Africa,2478.6,49.5
2012-09-21,Consumer,USCA,97.44,35.078399999999995
2014-07-30,Corporate,Asia Pacific,959.76,460.62
2015-12-03,Consumer,USCA,34.650000000000006,10.395
2015-04-30,Home Office,Asia Pacific,4135.641,847.0409999999999
2012-09-27,Consumer,LATAM,2325.28,511.52
2015-06-24,Consumer,Asia Pacific,5486.67,2316.5099999999998
2012-04-05,Home Office,Europe,1523.664,-50.97600000000003
2015-08-07,Corporate,Europe,1625.2425000000003,-76.5675
2015-04-02,Consumer,USCA,28.4,13.347999999999997
2015-02-14,Consumer,Europe,734.9399999999999,130.62000000000003
2012-12-23,Consumer,USCA,13.97,3.632200000000001
2013-08-17,Consumer,Europe,1391.52,69.36
2013-11-09,Consumer,USCA,26.22,12.3234
2013-08-07,Consumer,LATAM,2461.0600000000004,566.02
2014-06-22,Consumer,USCA,36.56,12.796
2014-05-03,Consumer,USCA,18.936,-3.787200000000003
2013-08-09,Consumer,Asia Pacific,1226.19,612.99
2014-02-21,Consumer,Asia Pacific,1809.255,-258.495
2013-07-18,Corporate,Asia Pacific,1863.0,393.24
2014-09-12,Consumer,USCA,6.0,2.0999999999999996
2015-04-09,Consumer,Europe,1244.1870000000001,-13.92300000000003
2013-06-18,Consumer,Europe,2364.102,-218.29799999999977
2014-12-31,Corporate,Europe,1946.3129999999999,114.45300000000009
2014-05-03,Consumer,USCA,12.672,-3.168
2013-01-15,Corporate,Europe,2283.714,-0.21600000000000819
2013-06-12,Consumer,Africa,2549.76,1172.8799999999999
2015-03-17,Home Office,Asia Pacific,3299.5620000000004,366.28199999999987
2013-11-13,Consumer,Europe,2489.3999999999996,273.78000000000003
2014-05-03,Consumer,USCA,5.04,1.764
2015-09-17,Consumer,USCA,3.444000000000001,-2.7551999999999994
2015-05-16,Home Office,Europe,1189.242,250.992
2013-11-09,Consumer,USCA,17.22,7.921200000000001
2015-12-22,Corporate,LATAM,1269.6,355.44
2014-09-14,Home Office,Asia Pacific,3499.155,-3009.4350000000004
2014-01-07,Consumer,Asia Pacific,2993.0249999999996,726.8249999999998
2015-06-27,Home Office,Europe,815.9490000000001,287.919
2013-07-13,Consumer,Europe,1245.0000000000002,161.76
2015-02-11,Consumer,Asia Pacific,1027.728,182.688
2015-05-29,Consumer,Asia Pacific,1703.0250000000003,737.9250000000001
2015-04-16,Consumer,Asia Pacific,1803.0837,-130.38630000000003
2015-11-27,Corporate,Europe,676.485,195.28500000000005
2012-11-08,Corporate,Asia Pacific,969.3600000000001,348.81
2015-09-18,Corporate,Europe,1637.0100000000002,90.80999999999995
2015-02-24,Consumer,LATAM,1655.9614399999998,13.201440000000002
2014-09-03,Corporate,LATAM,976.9599999999998,232.0
2014-12-23,Corporate,Asia Pacific,731.34,175.5
2015-06-17,Consumer,Africa,1239.0,0.0
2015-03-15,Home Office,Asia Pacific,1680.6059999999998,368.256
2015-07-12,Consumer,Asia Pacific,2190.75,65.7
2015-06-09,Consumer,Europe,935.1719999999999,114.252
2015-10-15,Consumer,Europe,1026.96,441.36
2015-08-06,Consumer,Asia Pacific,2550.0,280.44
2013-12-25,Corporate,Asia Pacific,2667.537,-417.81299999999993
2013-12-07,Corporate,Europe,1224.7140000000002,-129.726
2014-05-16,Consumer,Europe,2605.92,1042.32
2014-06-17,Consumer,Asia Pacific,2962.6800000000003,207.06
2015-11-03,Consumer,Asia Pacific,2664.0,905.7
2013-05-28,Consumer,Europe,1513.56,741.5999999999999
2014-08-17,Corporate,Europe,1233.6299999999999,234.36
2012-06-02,Consumer,Europe,855.1499999999999,384.81000000000006
2012-07-13,Consumer,Europe,956.3400000000001,-95.70000000000002
2013-11-09,Consumer,USCA,17.34,8.4966
2012-10-16,Consumer,Europe,1838.5199999999998,160.77000000000004
2012-11-13,Home Office,Asia Pacific,4498.83,674.7300000000001
2015-07-14,Consumer,Europe,1824.144,-1303.0560000000005
2015-06-03,Consumer,LATAM,2344.0,46.88
2015-12-15,Consumer,Asia Pacific,2043.7200000000003,756.0
2015-06-28,Corporate,Africa,856.8,265.44
2015-12-20,Corporate,LATAM,2509.3600000000006,426.58000000000004
2013-02-05,Consumer,Asia Pacific,819.9359999999999,191.31600000000003
2012-01-21,Consumer,LATAM,2797.2480000000005,-0.07200000000002546
2013-08-03,Consumer,LATAM,1455.08,261.8
2015-10-27,Corporate,Asia Pacific,2189.0897999999997,541.3697999999999
2013-02-26,Home Office,Asia Pacific,5451.299999999999,327.06000000000006
2013-06-11,Corporate,Asia Pacific,1291.08,296.94
2012-02-23,Corporate,Asia Pacific,1526.52,732.72
2012-09-21,Consumer,USCA,3.9840000000000004,1.3944
2014-07-20,Home Office,LATAM,1869.7199999999998,205.56000000000003
2014-03-29,Consumer,LATAM,1815.2399999999998,471.94000000000005
2015-10-23,Corporate,Asia Pacific,959.76,460.62
2015-06-24,Consumer,LATAM,3045.8399999999997,1035.5800000000002
2014-10-30,Home Office,LATAM,2125.0,297.5
2013-12-13,Consumer,Africa,976.08,292.79999999999995
2014-05-04,Consumer,Asia Pacific,1266.3600000000001,265.92
2012-09-21,Consumer,USCA,13.04,5.7376000000000005
2012-09-07,Home Office,Africa,2134.4399999999996,682.92
2013-04-22,Corporate,Europe,4748.436000000001,844.1159999999998
2014-10-30,Corporate,Africa,1867.5000000000005,242.64
2012-04-15,Home Office,Asia Pacific,1001.7,250.38000000000002
2014-09-12,Consumer,USCA,1.9079999999999997,-3.2436000000000016
2014-12-18,Consumer,USCA,9892.74,4946.37
2015-10-31,Home Office,Asia Pacific,4306.32,1722.48
2014-04-12,Home Office,Asia Pacific,899.55,323.82
2014-11-11,Home Office,Asia Pacific,763.92,381.96
2013-10-13,Consumer,Europe,2544.2400000000002,1093.92
2013-10-13,Consumer,Asia Pacific,1136.6639999999998,-189.4559999999999
2015-01-30,Corporate,Asia Pacific,2300.9999999999995,91.95
2013-10-12,Consumer,Africa,3908.88,1563.48
2015-06-06,Consumer,USCA,470.3760000000001,52.917299999999955
2015-11-20,Consumer,USCA,821.8799999999999,213.68880000000001
2014-09-19,Consumer,Asia Pacific,2249.16,224.88
2013-12-31,Corporate,LATAM,2528.26,176.96000000000004
2015-12-29,Consumer,Europe,1461.1350000000002,202.18499999999995
2014-11-15,Consumer,LATAM,3045.8399999999997,1035.5800000000002
2012-12-19,Consumer,USCA,1103.97,496.78649999999993
2015-05-19,Consumer,USCA,344.704,38.77919999999999
2015-09-08,Consumer,Asia Pacific,2152.956,198.6360000000002
2014-06-17,Consumer,Europe,1244.1,447.75000000000006
2012-12-07,Corporate,LATAM,2226.8160000000003,500.976
2015-09-19,Consumer,Asia Pacific,1586.4119999999998,17.531999999999982
2014-09-26,Consumer,USCA,393.165,-204.44580000000005
2015-02-10,Consumer,Asia Pacific,3425.4000000000005,1233.0
2015-02-08,Corporate,Europe,1136.94,568.4399999999999
2014-08-05,Corporate,Asia Pacific,677.6351999999999,211.2552
2015-04-15,Home Office,Asia Pacific,731.34,80.4
2013-11-07,Consumer,USCA,287.90999999999997,33.58949999999999
2015-05-05,Consumer,Asia Pacific,1272.72,534.48
2014-11-04,Consumer,Europe,1856.34,909.54
2015-06-10,Corporate,Europe,2295.0,459.0
2013-08-31,Corporate,Europe,1622.1825000000003,324.38249999999994
2014-06-20,Consumer,Asia Pacific,1063.44,361.41
2015-08-23,Corporate,Europe,3449.88,275.94
2013-05-28,Home Office,LATAM,585.456,-0.02400000000000091
2015-05-19,Consumer,Africa,1429.4399999999998,471.59999999999997
2014-04-29,Corporate,Africa,1057.8,158.64000000000001
2014-12-23,Corporate,Asia Pacific,1092.96,393.39
2015-10-12,Consumer,LATAM,1483.0,741.5
2015-04-15,Home Office,LATAM,1792.4000000000003,304.7
